patent_number,title
US1741A,Improvement in the process of tanning 
US1742A,Camphene-lamp 
US1743A,Apparatusfor obtaining casts from ti-ie teeth and guivis and ti-ie mode 
US1744A,Smith gaednee 
US1745A,Machine foe 
US1746A,Improvement in steam-boilers and evaporators 
US1747A,Improvement in machinery for tapping slivers or bands of hemp and making oakum of 
US1748A,Improvement in the mode of heating the blast for smelting-furnaces 
US1749A,Improvement in compositions for rendering leather water-proof 
US1750A,Construction of molasses-gate 
US1751A,Sawmill-dog foe 
US1752A,Mode of channeling and scarfing the soles of pumps 
US1753A,Machine for boiling and washing bags foe manufactueing paper 
US1754A,Machine for cutting staves 
US1755A,"Improvement in machines for making stove-pipes, moldings, conductors, eaves-troughs "
US1756A,The graphic co 
US1757A,Machinery for making hook or brad headed spikes 
US1758A,Improvement in machines for cutting veneers 
US1759A,Railroad-switch 
US1760A,Paper-engin e 
US1761A,Improvement in the construction of flower pots or vases for plants 
US1762A,Mode of connecting steam-boileks and supplying watee to the same 
US1763A,grimes 
US1764A,Improvement in modes of ascertaining the quality of lamp-oil 
US1765A,Improvement in cement for covering buildings 
US1766A,Mode of opening and closing window-blinds 
US1767A,Stencil-plate or apparatus for marking boxes 
US1768A,peters 
US1769A,Machine foe 
US1770A,Instrument for delineating maps 
US1771A,Improvement in inclined float paddle-wheels for propelling boats 
US1772A,Machine for cutting grass under water 
US1773A,Door and other lock 
US1774A,Apparatus for preserving and holding butchersx m meat in market-places 
US1775A,smith 
US1776A,Constructing canal-boats in sections and manner of uniting them 
US1777A,Brake for railroad-carriages 
US1778A,Spark- arrester 
US1779A,Improvement in cultivators 
US1780A,Manner of 
US1781A,Machine for cutting staves 
US1782A,Machine for dressing cotton waste ob rags previous to their being 
US1783A,Improvement in mills for grinding sugar 
US1784A,Glass knob fob 
US1785A,Factures of straw 
US1786A,Machine for cutting- staves 
US1787A,Improvement in machines for cutting staves 
US1788A,House-power for driving machinery 
US1789A,Two-wheeled carriage 
US1790A,Improvement in key-bands for tobacco-casks 
US1791A,Machine for extracting stumps 
US1792A,gilbert 
US1793A,Jambs still 
US1794A,Machinery for cleaning grain 
US1795A,Manner of construgtin g mills for grinding coffee 
US1796A,Manner of constructing locks for doors 
US1797A,Self-acting mule foe 
US1798A,"Improvement in presses for cotton, hay "
US1799A,chase 
US1800A,Cot ojb cross bedstead-sofa 
US1801A,Construction of self-acting mules fob 
US1802A,Pianoforte 
US1803A,grimes 
US1804A,Improvement in the manufacture of white lead 
US1805A,Mode of evaporating solutions 
US1806A,Fliee for twisting  silk 
US1807A,John weir 
US1808A,Railway-track 
US1809A,Manufacture of cloth of various kinds by the employment of wool and silk obtained by 
US1810A,Improvement in fire-arms 
US1811A,Machine for cutting the teeth of combs 
US1812A,Manner of constructing locomotive and other railroad carriages 
US1813A,Machine forxreducing  worn-out cloti-is and silks of various kinds to the 
US1814A,Cooking-stove 
US1815A,Mode of working and pressing butter 
US1816A,Improvement in machines for cutting screws upon the ends of the rails of bedsteads 
US1817A,Machine for pricking leather preparatory to stitching 
US1818A,Machine eoe 
US1819A,Mode of supplying steam-boilers with water 
US1820A,Improvement in the manner of propelling boats upon canals or other shoal water by the 
US1821A,Improvement in cooking-stoves for burning bituminous coal 
US1822A,Eandal fish 
US1823A,Ever-pointed pencil-case 
US1824A,Island 
US1825A,Vegetable-cutter 
US1826A,Samuel white ivhite 
US1827A,Cooking-stove 
US1828A,Boiler eor heatiito water for culinary or other purposes 
US1829A,And chiming staves 
US1830A,Improvement 
US1831A,Improvement in reaction water-wheels 
US1832A,Mode of hauling off stranded vessels 
US1833A,Method of shifting switches on railroads 
US1834A,Manner of constructing machines foe knitting stockings 
US1835A,Alarm to protect houses against thieves 
US1836A,photo-ll  
US1837A,Pheus starkey 
US1838A,Improvement in rotary temples for weaving-looms 
US1839A,Improvement in machines for cleaning wool from burs and other foreign matter 
US1840A,Machine fob cutting shingles 
US1841A,James h 
US1842A,Machine fob cutting corks 
US1843A,Mode of clearing- snow from railroads 
US1844A,John kirkman 
US1845A,Ixing garl-ic f from wheat 
US1846A,Improvement in the mode of protecting trees from the canker-worm 
US1847A,Improvement in the mode of 
US1848A,Edward gossefcln 
US1849A,Improvement in the manufacture of trunks for rendering them water-proof 
US1850A,Mode of cooling the mash used in the process of distillation 
US1851A,Improvement in printing-presses 
US1852A,Manner of constructing and shifting the switches used at turnouts on 
US1853A,Walter hunt 
US1854A,smith and benjamin mulliken 
US1855A,Improvement in the machine for manufacturing balls or shot 
US1856A,Thomas lamb 
US1857A,Machine fob 
US1858A,Cooking-stove 
US1859A,Musical instrument entitled the xvocal o organ 
US1860A,Chtjen 
US1861A,Spark-extinguisher 
US1862A,Rotary steam-engine 
US1863A,Machinery fob straining 
US1864A,Method of removing straw and sepaeating ti-ie grain in  lxi-iresi-iingxr 
US1865A,Loftis wood 
US1866A,Construction of portable furnaces for heating water in bathing-tubs 
US1867A,Norman t 
US1868A,Mode op regulating the waste 
US1869A,Apparatus for sinking wells in alluvial soils 
US1870A,Cut-off valve of steam-engines 
US1871A,Machine eor 
US1872A,"Improvement in the manner of forming oblique catches, protuberances "
US1873A,Jordan l 
US1874A,Villiams 
US1875A,Improvement in the mode of heating buildings by means of an apparatus consisting of 
US1876A,Sled for the transportation oe ice in blocks 
US1877A,Improvement in machines for cutting ice 
US1878A,Machine eor raising- blocks osi ice from the water and depositing- the 
US1879A,Machinery for reducing blocks of ice to a uniform thickness and cutting 
US1880A,Mode op iffieasubing the human body eob the dbaeting and ctjttina of 
US1881A,Improvement in the mode of whitening leather 
US1882A,Solomon andrews 
US1883A,Axles and boxes for carriage 
US1884A,Manufacture of artificial teeth 
US1885A,Mode of connecting a 
US1886A,Machinery foe 
US1887A,Mode of roofing houses 
US1888A,Door-latch 
US1889A,Henry w 
US1890A,Machine fob rolling puddle-balls ob other masses of trots in the 
US1891A,Threshing-machine 
US1892A,William p 
US1893A,Improvement in the mode of building and propelling vessels 
US1894A,Machine fob 
US1895A,Machine foe cutting bound tenons and for cutting ob tubning otheb 
US1896A,Machine eob 
US1897A,vvilliams 
US1898A,Endless-floor house-power for driving machinery 
US1899A,Apparatus for propelling boats 
US1900A,Machine for extracting stumps 
US1901A,The graphic co 
US1902A,Machine fob 
US1903A,rayard 
US1904A,niaacixixv xl xm sv xm s svixi 
US1905A,Jordan l 
US1906A,Walteb buchanan 
US1907A,Truss for the cure or relief of prolapsus uteri 
US1908A,Machinery for making pipes continuously from lead 
US1909A,Machinery for and manner of spinning silk 
US1910A,Machinery for and manner of reeling silk from cocoons 
US1911A,Cooking-stove 
US1912A,Spark-aeeestee 
US1913A,Cooking-stove 
US1914A,Improvement in windmills 
US1915A,Fire-alarm 
US1916A,Construction of railways and in the means of 
US1917A,Improvement in the mode of constructing and securing wing-gudgeons for mills 
US1918A,Apparatus for cooking 
US1919A,Coefee-koaster 
US1920A,Spark- arrester 
US1921A,baldwin 
US1922A,Samuel clegg 
US1923A,Machine foe 
US1924A,Edmund warren 
US1925A,Apparatus for steering steamboats 
US1926A,Improvement in the construction of blast-furnaces 
US1927A,Machine for cutting rawhides and leather into strips for the manufac 
US1928A,Spring for railroad-cars 
US1929A,John wilder 
US1930A,-pierre desire henry 
US1931A,Am photo lithu 
US1932A,Machine for cutting shingles 
US1933A,Improvement in seed-drills and corn-planters 
US1934A,Construction oe argkand lamps 
US1935A,Portable safety-barge and army-boat 
US1936A,Mode of driving light machinery with the foot 
US1937A,Improvement in the manner of constructing railroad-car bodies 
US1938A,Door-spuing 
US1939A,Method of manufacturing- balls 
US1940A,Method of manufacturing corsets to be worn by females during preg 
US1941A,Method of manufacturing ob 
US1942A,Martin bobbins 
US1943A,Manner of constructing the apparatus called 
US1944A,Manner of taking measures and draftings for the cutting out of ladies 
US1945A,Improvement in the process of manufacturing sulphate of alumina 
US1946A,Construction of cobn-shellees 
US1947A,Method of constktjctingr brick-presses 
US1948A,Machine for heading spikes 
US1949A,Method of constructing valves or dampers in chimney-flues 
US1950A,The steam-valves op steam-engines when the steam is 
US1951A,Barometer  for ascertaining the rise and fall of the mercury in the 
US1952A,Method of constructing corn-shellers where a disk is used by adapting 
US1953A,James h 
US1954A,Domestic spinner for spinning wool 
US1955A,Manner of constructing the face of curriers  beams 
US1956A,goodwin 
US1957A,Construction of inkstands by the employment of a capillary wick with 
US1958A,Improvement in the manner of discharging fire-arms of various kinds 
US1959A,Manner of constructing brick-presses 
US1960A,Manner of constructing gridirons 
US1961A,Method of constructing- machines used for stretching or adjusting the 
US1962A,Improvement in machines for carding cotton or wool 
US1963A,Endless-floor horse-power for driving machinery 
US1964A,Jacqttard machinery for weaving all kinds op figured cloth 
US1965A,Lewis grandy and thomas osgood 
US1966A,Manner of forming blocks of wood for paving streets 
US1967A,Method of constructing machines used for splitting leather 
US1968A,Improvement in the art of smelting iron ores and in certain furnaces 
US1969A,Method of constructing- locomotive-engines foe 
US1970A,Manner oe constructing the action pabt of pianofortes 
US1971A,Vin fobes 
US1972A,Joseph martin 
US1973A,Method oe cowstettctiitg clocks 
US1974A,Christopher edlvard dahpiitjr 
US1975A,Manner of constructing corn-shellers 
US1976A,jewett 
US1977A,Manner of constructing doob and other locks 
US1978A,Manner of constructing- stoves 
US1979A,"Improvement in the manner of constructing presses for cotton, hay "
US1980A,Mode oe 
US1981A,backus 
US1982A,Method of constructing fire-engines 
US1983A,Fob making cotton 
US1984A,Machinery for trimming straw braid 
US1985A,Charles m 
US1986A,Improvement in the press employed for filung war-rockets 
US1987A,austin 
US1988A,peters 
US1989A,Stump-extractor 
US1990A,Head-block of sawmills for sawing without stub-shot and gaging the 
US1991A,Manner of fastening bedsteads 
US1992A,Ivianner of attagi-iing br-istles to the stocks of brushes fob whitewashing 
US1993A,"Manufacture of plows 
     "
US1994A,Manner of fastening and gombining ti-ie truss-frames of bblidges 
US1995A,Latch of door and other locks 
US1996A,grimes 
US1997A,Improvement in the mode of rendering fabrics water-proof 
US1998A,Refrigerator 
US1999A,Improvement in seed-planters 
US2000A,Improvement in the manufacture of starch 
US2001A,Sawmill 
US2002A,Tor and planter for plowing 
US2003A,Improvement in horizontal windivhlls 
US2004A,Improvement in the manner of constructing and propelling steam-vessels 
US2005A,Improvement in the manner of constructing molds for casting butt-hinges 
US2006A,Clamp for crimping leather 
US2007A,Improvement in the mode of harvesting grain 
US2008A,Gas-lamp eok conducting gas pkom ah elevated buhner to one below it 
US2009A,Improvement in machines for boring war-rockets 
US2010A,Machine foe 
US2011A,Appabatxts for piling saws 
US2012A,Machine foe 
US2013A,Machine foe making pins 
US2014A,Machine ecu cutting square-joint dovetails 
US2015A,Improvement in rotary steam-engines 
US2016A,Mode of constructing fireplaces and chimney-staoks ii 
US2017A,The graphic co 
US2018A,Joseph francis 
US2019A,goedes  
US2020A,Mode of regulating the pressure of steam 
US2021A,Peters 
US2022A,Improvement in the manner of constructing and arranging paddle-wheels for propelling 
US2023A,Improvement in wheels for propelling steamships 
US2024A,Machine for 
US2025A,Machine eos 
US2026A,Improvement in cotton-presses 
US2027A,"Improvement in current water-wheels, being a plan for giving increased power to such wheels "
US2028A,Method of wetting flannels and other cloths 
US2029A,Machinery for cuttilta crackers 
US2030A,Blacksmith s twyee by which the blast is heated and the top of the 
US2031A,Cattle-pump 
US2032A,Method of treating reducible hernia 
US2033A,Improv ement-in xapparatus f for steaming vegetables 
US2034A,The frames of 
US2035A,Mode of manufacturing corselets for medicinal and other purposes 
US2036A,Check-press 
US2037A,Rotary steam-engine 
US2038A,Machine for cutting staves 
US2039A,Otjgh 
US2040A,And rufus 
US2041A,Abdominal supporter ob truss for prolapsus uteri 
US2042A,Of cowstkuctistg- window-blind fastestebs 
US2043A,Improvement in the manner of casting hinges onto their axes 
US2044A,Machinery fob 
US2045A,Improvement in the form of the screw-propeller for propelling vessels 
US2046A,Cooking-stove 
US2047A,Improvement in machines for planting corn and other seeds 
US2048A,Samuel goodwin 
US2049A,Mode of ascebtarntng the pressuse of steamc in the boilers of steam 
US2050A,John b 
US2051A,Manner 
US2052A,Method of manufacturing handles for knives and other table-cutler 
US2053A,Machinery for drying 
US2054A,Method of constructing screw-wrenches 
US2055A,Potbs 
US2056A,Improvement in the mode of connecting the rods of lightning-conductors 
US2057A,Smut-machine 
US2058A,Machine ob sceeen foe 
US2059A,Seal-press 
US2060A,Improvement in the iron-liquor employed by dyers as a mordant for dyeing black 
US2061A,Spring-lancet 
US2062A,Manner of manufacturing boots and shoes 
US2063A,Apparatus to be attached to chimneys to increase the draft and prevent 
US2064A,Construction of iron-truss bridges 
US2065A,mckean 
US2066A,Siviut-machine 
US2067A,Machine for cleaning and winnowing grain 
US2068A,Improvement in saw-gins for ginning cotton 
US2069A,Cooking-stove 
US2070A,Constructing and combining the piston-eods of steam-engines to enable 
US2071A,Manner op constructing railroad-carriages so as to ease the lateral 
US2072A,Construction of cheese-presses 
US2073A,Manner of constructing machines for 
US2074A,church 
US2075A,Gudgeon ob pivot and step of mill-spindles and other vertical shafts 
US2076A,gardiner 
US2077A,Cap-spiioteb 
US2078A,Apparatus employed fob separating gold from its ores and the earthy 
US2079A,Coetsthtjctiolt of beehives 
US2080A,And asa jackson 
US2081A,Method of arranging the keys in pianofortes 
US2082A,Latch of boob-locks 
US2083A,And cleaning out docks 
US2084A,Island 
US2085A,Hot-air furnace and fire-grate for heating- apartments 
US2086A,Construction of hydrant-cocks 
US2087A,Smtjt-machine 
US2088A,Wind-chest or bellows-box attached to hearths or 
US2089A,Improvement in the manner of operating paddles for propelling steam and other boats or 
US2090A,Thomas samson 
US2091A,Argand lamp 
US2092A,Apparatus for the relief of dvebility or weakness in ti-ie legs 
US2093A,Machine fob molding and pressing clay to be 
US2094A,Manner of constructing stump-extractors 
US2095A,Straw-cutter 
US2096A,Improvement in the process for removing wool or hair from the skins of animals 
US2097A,William m 
US2098A,Island 
US2099A,Method of constructing horizontal pianofortes 
US2100A,Recumbent-chair 
US2101A,Brick-machine 
US2102A,Double-dasher churn 
US2103A,Railroad cotton-gin 
US2104A,Mode of maintaining power to drive machinery 
US2105A,File ob 
US2106A,Tailob s measuke 
US2107A,Improvement in windmills 
US2108A,Counter-twist speeder for cotton roping 
US2109A,Jsiachihe eob 
US2110A,Machine eoe tkeeietcr boots 
US2111A,"Improvement in presses for pressing hay, cotton "
US2112A,Construction of pumps 
US2113A,Improvement in tobacco-presses 
US2114A,Manner of sustaining logs in sawmills 
US2115A,Improvement in machinery for hoisting 
US2116A,peters 
US2117A,Improvement in the manner of bracing the arms of paddle and water wheels 
US2118A,Stacy costill 
US2119A,Manner oe constructing tooth-extractors 
US2120A,Sawmill 
US2121A,Maetwee of constructing an instrumeht for fastening books on the inside 
US2122A,Manner of constrtjctiitg beehives 
US2123A,Improvement in door locks and latches 
US2124A,Manner of constructing horse-powers for driving machinery 
US2125A,Chaeles w 
US2126A,Fulling-mill 
US2127A,Sawmill 
US2128A,Manner of constructing rotary steam-engines 
US2129A,Improvement in the construction of lamps 
US2130A,Apparatus for and mode of feeding silk-worms 
US2131A,Jffaioter oe coetstrtjctrn g spark-arresters 
US2132A,Improvement in the construction of plows 
US2133A,Improvement in grates of saw-gins for ginning cotton 
US2134A,Frederick j 
US2135A,Charles f 
US2136A,Improvement in compounds for coating metallic surfaces to prevent oxidation 
US2137A,Machine eos 
US2138A,Improvement in the construction of water-wheels 
US2139A,The nor 
US2140A,Island 
US2141A,X  xk  szj  
US2142A,Their escape in locomotives 
US2143A,hubbell 
US2144A,hubbell 
US2145A,Railroad alarm-siotal 
US2146A,Improvement in metallic screws 
US2147A,dircks 
US2148A,Method of constructing a machine foe hulling- bice and other grain 
US2149A,John thomas 
US2150A,Construction of fire-engines 
US2151A,Beehive 
US2152A,wells 
US2153A,peters 
US2154A,Canal-lock gate 
US2155A,Improvement in the method of securing the scythe upon the snath and in fastening the 
US2156A,Stove for cooking- and heating 
US2157A,Endless-chain horse-power for 
US2158A,Thomas j 
US2159A,Charles d 
US2160A,van allen 
US2161A,Improvement in machines for cutting wood-screws 
US2162A,Smut-machine 
US2163A,Improvement in agricultural machine called the 
US2164A,Bridge 
US2165A,Screw-wrench 
US2166A,Manner oe closing and opening the keyhole of boor and other locks 
US2167A,Pianoforte 
US2168A,Lamp foe 
US2169A,Art ob process of conducting vinoxts fermentation 
US2170A,Improvement in the construction of tobacco-presses 
US2171A,Improvement 
US2172A,Construction of smut-machines 
US2173A,Improvement 
US2174A,Portable circular-saw mill 
US2175A,Machine for cleansing wool and cotton from burs 
US2176A,Improvement in the manufacture of indelible writing-ink 
US2177A,Shoemaker s pabihg-kntee 
US2178A,Process of leaching ashes in the manufacture of potash 
US2179A,"Improvement in machines for cutting and gathering flax, hemp "
US2180A,Machine fob cutting crackbss 
US2181A,Machine for cutting sheet metal 
US2182A,ballard 
US2183A,Thomas parkinson 
US2184A,Kiwg-spiwttek 
US2185A,James m 
US2186A,Improvement in compounds for the treatment of syphilis 
US2187A,Construction of measures for measuring liquids 
US2188A,Construction of stoves ob bakers for cooking purposes 
US2189A,Manner of mixing middlings with chops in the process of manufacturing 
US2190A,Improvement in the manner of constructing gins for ginning cotton 
US2191A,Constructing the surgical instrument denominated the 
US2192A,Cylinder-mill for granulatidtg corn 
US2193A,Machine fob cleaning grain 
US2194A,James bogakdus 
US2195A,Improvement in harpoons 
US2196A,Improvement in saw-mill dogs 
US2197A,john a 
US2198A,Machine eoe cutting screws on the bails oe bedsteads 
US2199A,Improvement in the manufacture of buttons 
US2200A,Manner 
US2201A,Fowvler m 
US2202A,Photo-utho 
US2203A,Improvement in portable fire-arms 
US2204A,"Improvement in the mode of propelling ships, boats, and other vessels "
US2205A,Improvement in machines for planting cotton-seed 
US2206A,Construction oe grates for lime-kilns 
US2207A,Improvement in the art of distilling 
US2208A,Improvement in scythes relating to the mode of fastening the thole or handle upon 
US2209A,Improvement in the mode of hardening steel 
US2210A,Improvement in the method of propelling boats 
US2211A,Ornamental slide or plate for covering the flues of stovepipes 
US2212A,Condenser of steam-engines and apparatus foe supplying the boilers 
US2213A,Cooking-stove 
US2214A,Loftis wood 
US2215A,Windmill 
US2216A,Cooking-stove 
US2217A,Improvement in floating batteries 
US2218A,Air-tight stove 
US2219A,Mode of attaching buttons to cloth 
US2220A,Jonas noi 
US2221A,Improvement in hydrostatic or hydraulic presses for pressing cotton 
US2222A,Manner of dressing millstones with ventilators eor cooling flour 
US2223A,Manner of retaining in any desired position the slats of venetian 
US2224A,Steelyaed fob weighing 
US2225A,Machine for removing buildings 
US2226A,Hib-am d lliawa y 
US2227A,Valve fob steam-eotietes 
US2228A,Jordan l 
US2229A,Thomas  mysfcrdogkj 
US2230A,Joel -si alding 
US2231A,Manner op constructing-  mortise-latch boor-fasteners 
US2232A,Improvement in cabooses for adapting them to the distillation of salt-water 
US2233A,Ethan campbell 
US2234A,Improvement in apparatus for separating alcohol from whisky 
US2235A,Method of combining elevated ovens with cooking or other stoves 
US2236A,Construction of rotary pumps fob raising water and other fluids 
US2237A,David b 
US2238A,Lamp fob burning laud 
US2239A,Horse-power for driving- machinery 
US2240A,Improvement in the manner of constructing berths for vessels 
US2241A,Manufacture of leather hats 
US2242A,William whitham 
US2243A,Manner os uniting- augers to sinkers fob boring artesian wells 
US2244A,Self-acting apparatus for supplying boilers of steam-engines with 
US2245A,wells 
US2246A,Method of cowstbucting- and arranging the grates of stoves 
US2247A,Chablbs payne 
US2248A,Window-fastening 
US2249A,Improvement in the construction of water-wheels 
US2250A,Construction op cooking-stoves 
US2251A,Conical grist-hill 
US2252A,Improvement in the construction of vessels or apparatus for preserving paint 
US2253A,Improvement in the method of pressing tobacco into boxes 
US2254A,Isaiah jennings 
US2255A,wells 
US2256A,wells 
US2257A,Construction of lamps for burning tallow 
US2258A,Railway cooking-stove 
US2259A,Improvement insteering-braces for boats 
US2260A,Improvement in axles and hubs for carriage-wheels 
US2261A,Permutation or combination lock 
US2262A,Improvement in figured damask hair-seating 
US2263A,Mode of setting potash-kettles 
US2264A,Machine for driving piles 
US2265A,John abbott 
US2266A,Corw-sheller 
US2267A,Method of transporting bales of cotton to market by floating them in the form of rafts 
US2268A,Construction of beehives 
US2269A,John a 
US2270A,Machine fob -cleamotg- and sepabascotg 
US2271A,And alfred b 
US2272A,Machine for 
US2273A,Machine for making wire heddles for the formation op weavers  harness 
US2274A,Improvement in the construction of wrought-iron plows 
US2275A,Machine fob 
US2276A,Combination door-lock 
US2277A,Island 
US2278A,Machine for combing and preparing wool and other fibrous substances 
US2279A,Construction of cocks or faucets for drawing  liquors 
US2280A,Construction of screw-presses and their 
US2281A,Peters 
US2282A,Grist-mill for grinding grain 
US2283A,Wheels of locomotives 
US2284A,Improvement in the mode of attaching the receiving and discharging points of lightning 
US2285A,John g 
US2286A,Construction of copy-books and method 
US2287A,Aet oe wbitiwg by a constbuctiobt of foitntaih-pen adapted to writing get 
US2288A,"Improvement in the manner of casting butt or other hinges of iron, brass "
US2289A,Machine for 
US2290A,Endless-chaiet bucket fob raising watek 
US2291A,Smut-machine 
US2292A,"Improvement in propelling boats, vessels "
US2293A,"Improvement in the method of building boats, vessels "
US2294A,Daniel fitzgerald 
US2295A,Manner of actuating a fly-wheel ob 
US2296A,Machine for making pipes or tubes ot lead 
US2297A,Mode of constructing the bottom end of ferrules for canes 
US2298A,Island 
US2299A,Manufacture of wire heddles for weavers  harness 
US2300A,Water-wheel 
US2301A,Construction of parlob 
US2302A,Rotary steam-engine 
US2303A,Improvement in planting-machines 
US2304A,Construction of cocks for hydraulic and pneumatic purposes 
US2305A,"Improvement in self-acting mules, billies, jennies, jack-frames, or stretching-frames "
US2306A,"Improvement in the method of constructing a combined caldron, steam-boiler, and furnace "
US2307A,Spuing foe 
US2308A,Method of constructing the flues of elevated ovens to be combined with 
US2309A,Mode of constructing the pockets of gabmejntts 
US2310A,Construction of cooking-ranges 
US2311A,Improvement in the condenser of the woolen carding machine 
US2312A,Brick-machine 
US2313A,Bttsh for grist-mills 
US2314A,Improvement in cotton or wool carding machines 
US2315A,Manner 
US2316A,Isaac bullock 
US2317A,Construction of the valves and pistons oe pumps 
US2318A,Improvement in the construction of boilers 
US2319A,Improvement in the construction of traveling-trunks 
US2320A,Machine or apparatus for counting coin 
US2321A,Sawmill fob resawing boarbs and other timber 
US2322A,Manner of strengthening the axles oe railroad-cars by means of safety 
US2323A,James frost 
US2324A,Construction of air-tight or arnott stoves 
US2325A,Magiiine for cutting tin and gti-ie-r metal 
US2326A,Manner of securing and fastening the rails of bedsteads 
US2327A,Improvement in the method of rendering fabrics water-proof 
US2328A,harvey 
US2329A,Machine for cutting and dressing stone 
US2330A,Construction of pianofortes 
US2331A,Method of oonstructing and arranging cocooneries fob 
US2332A,Improvement in the process of tannsnq hides 
US2333A,Method 
US2334A,Island 
US2335A,Cooking-stove 
US2336A,Manner of constructing- steam vessels to prevent them from sinking 
US2337A,Coebt-shelleb 
US2338A,Constetjctioh of air-pumps 
US2339A,Platform-balance 
US2340A,Machine for slitting timbes and making splints 
US2341A,Tailor s ihstbtjmewt and the mode of measuring garments 
US2342A,Construction of molasses gates and cocks fob dba wing liquors 
US2343A,Construction of churns 
US2344A,nbvins 
US2345A,Joel farnam 
US2346A,Machine for cutting shingles 
US2347A,peters 
US2348A,Construction of blacksmiti-i or forge i-iearths 
US2349A,Method of constkitctihtg water-backs fob fobges attd fubbtaces 
US2350A,Coetstrtrctiolt of pumps 
US2351A,Improvement in the construction of stop-cocks 
US2352A,Construction oe 
US2353A,i s p e t t i t s m i t h  
US2354A,spaulding 
US2355A,l blanchard 
US2356A,Manner of cutting tenons and soring holes in the rails of bedsteads 
US2357A,Construction of open grates ob parlor-stoves for burning anthracite 
US2358A,Construction of lamps for burning lard 
US2359A,Improvement in buoyant dresses or life-preservers 
US2360A,Elliptical spring 
US2361A,And jno 
US2362A,Machine fob corning ob graining gunpowder 
US2363A,Improvement in the manner of opening and closing the jaw-temples of looms 
US2364A,Manner of 
US2365A,Machine eor 
US2366A,Universal chuck 
US2367A,Machine foe 
US2368A,Machine for mincing blubber 
US2369A,Machine for washing clothes 
US2370A,Mode of constructing ptjslps 
US2371A,Method of cowstkuctisra the fire-chambers op stoves ob furnaces 
US2372A,Machine foe 
US2373A,Machine for 
US2374A,Method of constructing the governors oh regulators of steam-engines 
US2375A,Improvement in the method of constructing and arranging the openings or spouts for 
US2376A,Door-latch 
US2377A,William craig 
US2378A,Machinery foe 
US2379A,Machine foe 
US2380A,Improvement in machinery for raising blocks of ice from the water and depositing the 
US2381A,Machinery and car for elevating and depositing blocks of ice in cars 
US2382A,Railway-car for discharging blocks of ice therefrom onto platforms 
US2383A,Improvement in the construction of water-wheels 
US2384A,John d 
US2385A,Spring for carriages 
US2386A,graves 
US2387A,Joel farnam 
US2388A,Manner of combining coking-ovens and boilers fob 
US2389A,Improvement in cast-iron plows 
US2390A,Smttt-machine 
US2391A,John johnson 
US2392A,Method of opening- and closing waste-gates for 
US2393A,Sluice-gate of canal-locks 
US2394A,Liakd 
US2395A,Manner of constructing the pistons of pneumatic springs to be 
US2396A,Mode of propelling locomotives by stationary power 
US2397A,Construction of portable balances 
US2398A,Improvement in tobacco-presses 
US2399A,Improvement in the construction of plows for altering the set of the same 
US2400A,Improvement in the manner of constructing and of propelling steamboats 
US2401A,George johnson 
US2402A,Improvement in the composition of matter for the manufacture of friction-matches 
US2403A,Improvement in the composition of matter for the manufacture of friction-matches 
US2404A,Method of combining elevated ovens with cooking-stoves so as to bender 
US2405A,Apparatus foe 
US2406A,Construction of railroad-scbapers fob cleaning te-ie tracks from sl 
US2407A,Manner of constructing ti-ie master-wheels of portable horse-powers 
US2408A,Machine foe thbeshing grain 
US2409A,Construction of inkstands 
US2410A,Improvement in the mode of propelling boats 
US2411A,Shutter-fastening 
US2412A,Machineby fob finishing silk 
US2413A,Construction of lamps 
US2414A,Window-blind 
US2415A,James knipe 
US2416A,Liaed 
US2417A,steiger 
US2418A,Flue-contractor or chimney-valve for fireplaces and grates 
US2419A,Machine foe 
US2420A,Improvement in the method of casting statues 
US2421A,Smut-machibte 
US2422A,Improvement in the method of constructing smelting-furnaces 
US2423A,Construction of machine fob cleaning grain 
US2424A,Coustkuctioit of the caps of glass lamps 
US2425A,Machine for mortising timber 
US2426A,Apparatus for teaching geography and astrography 
US2427A,Cowstbuctioit of air-tight stoves 
US2428A,Improvement in the combination of machinery for picking oakum 
US2429A,Improvement in roller-gins for ginning long-staple cotton 
US2430A,Improvement in the manner of propelling boats by means of jets of water 
US2431A,Improvement in compositions for dressing leather 
US2432A,Method of constructing the concaves employed in threshing-machines 
US2433A,Improvement in the construction of apparatus for condensing air to be 
US2434A,Improvement in the mode of propelling boats by means of endless chains of paddles 
US2435A,Machine foe cleaning and polishing cutlery 
US2436A,Manner oe constructing mop-holders 
US2437A,Improvement in the construction of the steam-engine 
US2438A,Cowstbuctioh of pumps 
US2439A,Improvement in construction of printing-presses 
US2440A,Improvement in machines for excavating ditches 
US2441A,Manner of combining ti-ie barrels of guns and of firearms of various 
US2442A,Floating dry-dock 
US2443A,Manufacture of wrought-iron and steel cannons 
US2444A,Mode oe stbainiito saws for 
US2445A,Improvement in cotton-presses 
US2446A,Ing the shafts of water-wheels 
US2447A,Machine for working butter 
US2448A,Lamp foe burning laed 
US2449A,Ship s windlass 
US2450A,Construction of instruments for measuring garments 
US2451A,Machine for screening or sifting coal 
US2452A,Spring-fastener 
US2453A,"Improvement in the machine for making screws, bolts, pins, and rivets "
US2454A,Mode oei preventing the explosion of steam-boilers 
US2455A,Spabk-abbesteb 
US2456A,Washboaed fob washing clothes 
US2457A,Machine fob cutting shingles 
US2458A,Reel tor 
US2459A,Machine for breaking and grinding corn and corncobs 
